date,channel,severity,tickets_created,tickets_resolved,backlog_open,avg_first_response_minutes,avg_resolution_hours,csat_score,escalations
2026-03-01,email,normal,42,39,118,54,16.5,4.3,3
2026-03-01,chat,normal,68,71,37,7,2.8,4.6,1
2026-03-02,email,normal,47,45,120,49,15.2,4.4,2
2026-03-02,chat,normal,73,69,41,8,3.1,4.5,2
2026-03-03,email,high,58,51,127,62,22.4,4.0,8
2026-03-03,chat,high,81,76,46,11,4.8,4.2,5
2026-03-04,email,normal,44,52,119,46,14.1,4.5,2
2026-03-04,chat,normal,70,75,41,6,2.6,4.7,1
2026-03-05,email,high,63,54,128,68,24.9,3.9,9
2026-03-05,chat,high,88,80,49,12,5.2,4.1,6
2026-03-06,email,normal,39,43,124,51,17.3,4.2,3
2026-03-06,chat,normal,61,64,46,7,3.0,4.6,1
2026-03-07,email,low,31,36,119,38,12.7,4.7,1
2026-03-07,chat,low,52,55,43,5,2.3,4.8,0
2026-03-08,email,normal,46,42,123,57,18.6,4.1,4
2026-03-08,chat,normal,76,70,49,9,3.5,4.4,2
2026-03-09,email,high,67,59,131,74,28.2,3.8,11
2026-03-09,chat,high,92,86,55,14,6.1,4.0,8
2026-03-10,email,normal,45,50,126,48,15.9,4.4,2
2026-03-10,chat,normal,71,78,48,6,2.7,4.7,1
